Date, 2015/11/12
Game,GSW,vs,MIN
Location,MIN

Box Score, Golden State Warriors
,,PTS,AST,TOT-REB,OFF-REB,DEF-REB,STL,BLK,FGM,FGA,3PM,3PA,FTM,FTA,TOV,FOUL,MIN
harrison,barnes,14.0,1.0,4.0,2.0,2.0,1.0,1.0,6.0,14.0,2.0,7.0,0.0,1.0,1.0,3.0,34:41
andrew,bogut,4.0,2.0,6.0,2.0,4.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,21:03
stephen,curry,46.0,4.0,5.0,0.0,5.0,2.0,0.0,15.0,25.0,8.0,13.0,8.0,8.0,3.0,3.0,37:42
james,michael mcadoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02:25
shaun,livingston,8.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,2.0,0.0,4.0,22:23
klay,thompson,15.0,2.0,2.0,0.0,2.0,1.0,1.0,6.0,16.0,3.0,9.0,0.0,0.0,4.0,1.0,37:25
andre,iguodala,3.0,6.0,4.0,0.0,4.0,1.0,0.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,3.0,29:37
festus,ezeli,10.0,3.0,2.0,1.0,1.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,16:01
ian,clark,6.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0,2.0,03:40
draymond,green,23.0,12.0,8.0,0.0,8.0,2.0,2.0,8.0,10.0,2.0,3.0,5.0,5.0,2.0,3.0,35:03
Team,Overal,129.0,34.0,33.0,6.0,27.0,8.0,7.0,48.0,89.0,18.0,38.0,15.0,16.0,11.0,25.0,240:00

Box Score, Minnesota Timberwolves
,,PTS,AST,TOT-REB,OFF-REB,DEF-REB,STL,BLK,FGM,FGA,3PM,3PA,FTM,FTA,TOV,FOUL,MIN
tayshaun,prince,6.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,14:05
karl-anthony,towns,17.0,0.0,11.0,3.0,8.0,1.0,0.0,7.0,15.0,0.0,0.0,3.0,4.0,5.0,2.0,30:14
kevin,martin,15.0,6.0,4.0,1.0,3.0,0.0,0.0,5.0,13.0,1.0,1.0,4.0,4.0,0.0,2.0,28:22
zach,lavine,13.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,11.0,0.0,2.0,7.0,8.0,2.0,2.0,25:32
adreian,payne,0.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11:33
andre,miller,11.0,4.0,3.0,2.0,1.0,0.0,0.0,5.0,8.0,0.0,0.0,1.0,2.0,2.0,4.0,21:40
andrew,wiggins,19.0,5.0,2.0,1.0,1.0,0.0,0.0,7.0,17.0,1.0,2.0,4.0,6.0,1.0,1.0,34:43
